participant,TargetHit_L0,TargetHit_L1,TargetHit_L2,TargetMiss_L0,TargetMiss_L1,TargetMiss_L2,LureFA_L0,LureFA_L1,LureFA_L2,LureCR_L0,LureCR_L1,LureCR_L2,FoilFA_L0,FoilFA_L1,FoilFA_L2,FoilCR_L0,FoilCR_L1,FoilCR_L2,Age,age
5bc74835394f390001e0bc65,0.789473684,0.85,0.6,0.210526316,0.15,0.4,0.15,0.3,0.736842105,0.85,0.7,0.263157895,0.1,0.1,0.1,0.9,0.9,0.9,34,young
5bc913d99427200001dd47f5,0.888888889,0.85,0.85,0.111111111,0.15,0.15,0.2,0.263157895,0.368421053,0.8,0.736842105,0.631578947,0.105263158,0.1,0.1,0.894736842,0.9,0.9,72,old
5bd02cd408a62c0001f96093,0.8,0.85,0.75,0.2,0.15,0.25,0.3,0.473684211,0.55,0.7,0.526315789,0.45,0.1,0.1,0.15,0.9,0.9,0.85,27,young
5bd04ae2cff8c700012aabb4,0.85,0.7,0.75,0.15,0.3,0.25,0.25,0.35,0.45,0.75,0.65,0.55,0.1,0.1,0.1,0.9,0.9,0.9,30,young
5bd45c509afb5b00015c48f4,0.9,0.9,0.85,0.1,0.1,0.15,0.894736842,0.85,0.684210526,0.105263158,0.15,0.315789474,0.1,0.25,0.25,0.9,0.75,0.75,68,old
5c1976c90d57c30001b4162c,0.85,0.9,0.9,0.15,0.1,0.1,0.15,0.55,0.631578947,0.85,0.45,0.368421053,0.1,0.1,0.1,0.9,0.9,0.9,70,old
5c5346b553fba80001bc9662,0.9,0.8,0.8,0.1,0.2,0.2,0.4,0.5,0.45,0.6,0.5,0.55,0.15,0.1,0.1,0.85,0.9,0.9,70,old
5c5c539213005e0001ab6517,0.85,0.75,0.65,0.15,0.25,0.35,0.6,0.65,0.65,0.4,0.35,0.35,0.15,0.1,0.2,0.85,0.9,0.8,65,old
5c9164d10791df0001366ab9,0.85,0.789473684,0.684210526,0.15,0.210526316,0.315789474,0.7,0.6,0.368421053,0.3,0.4,0.631578947,0.15,0.15,0.2,0.85,0.85,0.8,66,old
5cb34fdb9a26a300017302d8,0.8,0.5,0.5,0.2,0.5,0.5,0.65,0.45,0.684210526,0.35,0.55,0.315789474,0.2,0.210526316,0.1,0.8,0.789473684,0.9,75,old
5cf4dfa4a602eb001be2e8c5,0.9,0.8,0.75,0.1,0.2,0.25,0.470588235,0.647058824,0.578947368,0.529411765,0.352941176,0.421052632,0.15,0.157894737,0.105263158,0.85,0.842105263,0.894736842,67,old
5d0ca909a37d8b0018913ca4,0.842105263,0.85,0.7,0.157894737,0.15,0.3,0.45,0.631578947,0.6,0.55,0.368421053,0.4,0.210526316,0.15,0.2,0.789473684,0.85,0.8,84,old
5d8a1d20d1afcb0019d7390b,0.85,0.789473684,0.75,0.15,0.210526316,0.25,0.526315789,0.8,0.65,0.473684211,0.2,0.35,0.15,0.166666667,0.263157895,0.85,0.833333333,0.736842105,71,old
5dc483cf74939e34e55c3619,0.8,0.7,0.75,0.2,0.3,0.25,0.4,0.45,0.55,0.6,0.55,0.45,0.15,0.35,0.5,0.85,0.65,0.5,71,old
5dc9f3a0e2633171257d503e,0.85,0.75,0.5,0.15,0.25,0.5,0.7,0.55,0.35,0.3,0.45,0.65,0.3,0.15,0.3,0.7,0.85,0.7,68,old
5dcec32a367c6d000a4282c2,0.9,0.7,0.55,0.1,0.3,0.45,0.65,0.473684211,0.65,0.35,0.526315789,0.35,0.1,0.1,0.25,0.9,0.9,0.75,68,old
5dd2d431181abc2ecde6edb4,0.9,0.9,0.7,0.1,0.1,0.3,0.4,0.5,0.65,0.6,0.5,0.35,0.1,0.1,0.105263158,0.9,0.9,0.894736842,65,old
5e9027110aacc7320bd9a84b,0.85,0.8,0.7,0.15,0.2,0.3,0.65,0.526315789,0.421052632,0.35,0.473684211,0.578947368,0.1,0.1,0.1,0.9,0.9,0.9,65,old
5e95d76c2d979101cf1120af,0.85,0.85,0.75,0.15,0.15,0.25,0.7,0.9,0.578947368,0.3,0.1,0.421052632,0.25,0.2,0.473684211,0.75,0.8,0.526315789,67,old
5ea051f6ef1e88000bbae035,0.684210526,0.85,0.7,0.315789474,0.15,0.3,0.35,0.3,0.45,0.65,0.7,0.55,0.1,0.2,0.25,0.9,0.8,0.75,69,old
5ea07fc202b8bd05bb59bc38,0.9,0.85,0.65,0.1,0.15,0.35,0.65,0.55,0.5,0.35,0.45,0.5,0.1,0.25,0.25,0.9,0.75,0.75,73,old
